iter	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=0,TP	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=1,TP	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=2,TP	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=3,TP	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=4,TP	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=5,TP	Accuracy_SumError	Accuracy_SumWeight
136	50248	15771	15771	0	6975	0	0	6885	0	0	11259	0	0	7249	0	0	2109	0	15771	50248
137	50248	15769	15769	0	6986	0	0	6886	0	0	11259	0	0	7244	0	0	2104	0	15769	50248
138	50248	15775	15775	0	6976	0	0	6890	0	0	11257	0	0	7241	0	0	2109	0	15775	50248
139	50248	15790	15790	0	6969	0	0	6895	0	0	11258	0	0	7233	0	0	2103	0	15790	50248
140	50248	15786	15786	0	6979	0	0	6898	0	0	11274	0	0	7220	0	0	2091	0	15786	50248
141	50248	15795	15795	0	6976	0	0	6889	0	0	11279	0	0	7221	0	0	2088	0	15795	50248
142	50248	15795	15795	0	6976	0	0	6892	0	0	11285	0	0	7219	0	0	2081	0	15795	50248
143	50248	15796	15796	0	6973	0	0	6905	0	0	11282	0	0	7211	0	0	2081	0	15796	50248
144	50248	15804	15804	0	6972	0	0	6906	0	0	11285	0	0	7205	0	0	2076	0	15804	50248
145	50248	15806	15806	0	6975	0	0	6897	0	0	11290	0	0	7209	0	0	2071	0	15806	50248
146	50248	15818	15818	0	6974	0	0	6897	0	0	11291	0	0	7200	0	0	2068	0	15818	50248
147	50248	15821	15821	0	6966	0	0	6899	0	0	11290	0	0	7201	0	0	2071	0	15821	50248
148	50248	15826	15826	0	6965	0	0	6891	0	0	11294	0	0	7197	0	0	2075	0	15826	50248
149	50248	15824	15824	0	6971	0	0	6890	0	0	11300	0	0	7198	0	0	2065	0	15824	50248
150	50248	15828	15828	0	6985	0	0	6881	0	0	11307	0	0	7192	0	0	2055	0	15828	50248
